name,mood
Everybody Hurts,Sad
Everyday People,Happy
Expedition,Happy
Faces,Energetic
Falling,Sad
Falling Ashes,Sad
Falling Asleep,Sad
Falling Away from Me,Energetic
Fantasy - R3HAB Remix,Energetic
Fascination,Happy
Feeling This,Energetic
Feels Like Flying,Calm
Feels Like We're Dying,Sad
Fields After Rain,Calm
Fields Of Blossom,Calm
Fire in Cairo,Sad
Fix You,Sad
Fleur février,Calm
Flex,Energetic
Floating Sunbeams,Calm
Flowing,Calm
Fly - King Britt's Fhloston Paradigm Remix,Sad
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,Energetic
Focus,Calm
Follow me,Calm
Found,Calm
Free,Happy
Freya,Happy
Friday I'm In Love,Happy
From Yesterday,Energetic
Frozen,Calm
Fête sous les étoiles,Calm
Game Time (feat. Ninja),Happy
Gasoline,Energetic
Geno - 2000 Remaster,Happy
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Happy
Get Up Offa That Thing,Happy
Getting Away With Murder,Energetic
Ghostride,Sad
Glaciers,Calm
Go With The Flow,Energetic
Gone My Way - KhoMha Remix,Energetic
Good Times,Happy
Good Vibrations - Remastered,Happy
Goodbye,Sad
Goshen,Sad
"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",Calm
Goya,Calm
Gracewood (Revisited),Calm
Green Street,Calm
Groove Is in the Heart,Happy
Groovin,Energetic
Guernica,Energetic
Halfway There (feat. Lena Leon),Energetic
Handful Of Redemption,Energetic
Happy Ending,Happy
Happy Together,Happy
Harvest Love,Sad
Hash Pipe,Energetic
Heaven - David Guetta & MORTEN Remix,Happy
Heavenly,Sad
Heavy,Energetic
Here Comes The Sun - Remastered 2009,Happy
Highway to Hell,Happy
Holding On,Energetic
Hollowman,Energetic
Holy Water,Energetic
Home,Energetic
"Honey, This Mirror Isn't Big Enough for the Two of Us",Energetic
Hoovela,Happy
How Bizarre,Happy
How To Fight,Sad
Human Connection,Happy
Humans (Let Me Love You),Happy
Hunter,Sad
Hypnagogia Well,Calm
I Can't Help (with Sarcastic Sounds),Sad
I Don't Know (feat. Samuel T. Herring),Sad
I Don't Trust That Bird of Prey,Calm
I Stand Alone,Energetic
I Took A Pill In Ibiza,Sad
I Was Made For Lovin' You,Happy
I Would Die 4 U,Happy
I dine øjne,Sad
I'm Not Okay (I Promise),Energetic
I'm Your Man,Sad
I've Been Fine,Sad
ID8,Happy
If You Believe,Calm
If You Think It's Love,Sad
Images,Calm
In This Moment,Calm
Indigo,Sad
Infinite Sustain,Calm
Ingénue,Calm
Inside Of You,Energetic
Inside the Fire,Energetic
Inside*,Calm
Intermezzo No. 1 in E Minor,Calm
Into Black,Sad
Isonoe,Calm
It Takes Me Back,Sad
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),Energetic
It's My Fault,Sad
Jealous,Sad
"John Wayne Gacy, Jr.",Sad
Juliens Journey,Calm
Jupiter 4,Sad
Just Can't Get Enough - Live in Hammersmith,Happy
Just Look at You,Calm
Just the Two of Us (feat. Bill Withers),Happy
K.,Sad
Kangaroo (Remastered),Sad
Kaolnite,Calm
Keep Going,Calm
Kids In The Dark,Sad
Killing In The Name,Energetic
Kinky Living,Sad
Kinky Love,Sad
Kiss,Happy
Kiss On My List - Remastered,Happy
Kiss You All Over - Single Edit,Energetic
Kite,Calm
Klangfall - Piano Version,Calm
La Luz,Calm
Last Time,Sad
Late in the Evening,Happy
Laugavegur,Calm
Lay Your Head On Me (feat. Marcus Mumford),Happy
Let It Go,Sad
Let It Out,Sad
Let's Go Crazy,Happy
Lift Me Up (feat. Carla Monroe),Energetic
Light Year,Calm
Light Years,Sad
Lights Go Down,Energetic
Like The First Time - House Mix,Energetic
Like The Way I Do,Happy
Like We Do,Energetic
Limitless,Calm
Linger,Sad
Listen to the Music,Happy
Listening,Energetic
Litost,Calm
Little Lion Man,Happy
Little Talks,Happy
Little Things,Energetic
Living,Sad
"Lola - Live at Providence Civic Center, Providence, RI - September 1979",Happy
London Thunder,Sad
Lonely Boy,Happy
Long Way Down,Sad
Lorelei,Sad
Los Feliz,Calm
Losing You,Sad
Lost,Calm
Lost Moon,Sad
Love Is A Losing Game,Sad
Lovely Day,Happy
Lunar Eclipse,Calm
"Ma mère l'oye, M.60 - For Piano Duet, M.60: 1. Pavane de la Belle au bois dormant",Calm
Machinehead,Energetic
Mad About You,Happy
Make Believe,Energetic
Malibu,Calm
Marbles,Sad
Me and Julio Down by the Schoolyard,Happy
Melancholé,Calm
Mercy - Live,Calm
Message In A Bottle - Remastered 2003,Happy
Midnight Sun,Energetic
Mil Sonidos,Calm
Mind-wanders,Calm
Mindfulness,Calm
Minus,Sad
Miss You - Remastered,Happy
Misty Mornings,Calm
Momentum,Calm
Montana,Calm
Monumental,Calm
Morning Shimmer,Calm
Moulain (Revisited 432hz),Calm
Movies,Sad
Mr. Blue Sky,Happy
Mr. Jones,Happy
Mudshovel,Energetic
"Murder Song (5, 4, 3, 2, 1) - Acoustic",Sad
My Favourite Game,Energetic
My Hero,Energetic
My Own Worst Enemy,Energetic
My Sharona,Happy
My Way - Marcus Santoro Remix,Energetic
Mykki,Sad
Nazareth,Calm
Need You - Ed. & Gustav Munk Remix,Happy
Never Be Lonely (feat. Envy Monroe),Energetic
Never Letting Go,Happy
Never My Love,Sad
Night,Calm
Night Moves,Happy
Night Surrender,Calm
Night on Earth,Sad
No More 54,Energetic
No One Knows,Energetic
No Time To Die,Sad
No Woman,Sad
Nobody,Sad
North,Calm
North Captiva,Calm
Not Alone,Happy
Nowhere Kids,Energetic
Oceans,Sad
October Rain,Calm
Old Rain on a New Day,Calm
Older Than I Am,Sad
On Another Ocean (January / June),Sad
On My Way (feat. Jordan Kaahn),Happy
One More Night,Energetic
One Night - D.O.D Remix,Energetic
One Step Closer,Energetic
Only,Sad
Only You,Sad
Open Fields,Calm
Open Skies,Calm
Orbits,Calm
Our Lady of Sorrows,Energetic
Out Of Control,Energetic
Out Of Control - Pat Vocal Mix,Energetic
Out of Control,Sad
Out of the Deep,Calm
Outside,Sad
Over My Head (Better Off Dead),Energetic
Pain,Sad
Panoramic Feelings (Piano Version),Calm
Papercut,Energetic
Paperthin Hymn,Energetic
Parabel,Calm
Paradise,Happy
Paralyzer,Energetic
Pass The Hours,Sad
Path to Serenity,Calm
People Are Strange - Festival Mix,Energetic
People Help the People,Sad
Petrichor,Calm
"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",Calm
Pierre,Calm
Pink Rupture,Happy
Placidity,Calm
Planet,Calm
Play The Ghost,Sad
Poem,Energetic
Points of Authority,Energetic
Polyamorous,Energetic
Pour Les Oiseaux,Calm
Prayer Of The Refugee,Energetic
Prelude,Calm
Prelude 6 - Pt. 1,Calm
Prelude in F,Calm
Presence,Calm
Pressure,Energetic
Promise,Energetic
Pumped Up Kicks,Happy
Quick Canal (W/ Laetita Sadier),Sad
Quiet Room,Calm
"Quiet, The Winter Harbor",Sad
Raven's Feather - Piano Solo,Calm
Rayons de soleil,Calm
Reality,Happy
Rebuscano,Calm
Recording 15,Sad
Reinventing Your Exit,Energetic
Remains,Calm
Renee's Song,Sad
Renegades Of Funk,Energetic
Rescue Me,Energetic
Retrospectacular,Calm
Revitalize,Calm
Ring The Alarm - Stadiumx Remix,Energetic
Rise (ft. Matluck) - Thomas Gold Remix,Energetic
River,Sad
Riverside,Sad
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Happy
Romance,Sad
Roses,Happy
Rusted From the Rain,Energetic
Rylan,Sad
Sad Corny Fuck,Sad
Sadness,Calm
Sahara Love - Seven Lions Remix,Energetic
Same Direction,Energetic
Samson,Sad
Saving Daylight,Calm
Savior,Energetic
Say Days Ago,Energetic
Schloss,Calm
Secrets,Energetic
Send It,Happy
Send Me on My Way,Happy
Seven Nation Army,Happy
She Kind of Looks Like You,Sad
She Remembers (Piano Solo),Calm
Shifts Of Light,Calm
Shimmer,Energetic
Shine,Happy
Should Have Known Better,Sad
Should I Stay or Should I Go - Remastered,Happy
Silhouette,Sad
Silver Lining,Calm
Simple Song,Sad
Sinking Man - The Walking Dead Soundtrack,Sad
Sintra,Calm
Siren Song - Radio Edit,Happy
Skinny Love,Sad
Sleep,Sad
Slow It Down,Sad
Smile,Happy
Smooth Criminal,Energetic
Snowfall,Calm
Solitude,Calm
Some Kind Of Love,Sad
Somebody - Josef Bamba Remix Radio Edit,Happy
Somebody That I Used To Know,Happy
Someday,Calm
Someone Like You,Sad
Someone New,Happy
Somewhere Only We Know,Sad
Son of a Lady,Sad
"Song to the Siren - Recorded at Strongroom Studios, London",Sad
South Beach,Energetic
Spirit In The Sky,Happy
Start Me Up - Remastered,Happy
Stay,Sad
Stay Here,Energetic
Stay Home,Calm
Stay Still,Calm
"Steady, As She Goes",Happy
Still Alive,Energetic
Still Waiting to Start,Sad
Stormy Weather,Calm
Story Of A Violin,Happy
Strange Dreams,Calm
Streets,Happy
Stricken,Energetic
Stuck In The Middle With You,Happy
Stupify,Energetic
Such Great Heights,Sad
Suds & Soda,Happy
Suhpratti,Calm
Summer Boredom,Calm
Summer-Blink,Sad
Sun In Our Eyes - Don Diablo Remix,Happy
Sunspots,Sad
Supermarket,Sad
Supersonic (feat. Christian Burns),Energetic
Superstition,Happy
Surrender,Sad
Swerve City,Energetic
Take Everything,Happy
Take on Me,Happy
Takeoff,Calm
Talking In Your Sleep,Happy
Target,Calm
Teardrop - Remastered 2006,Sad
Teardrops - Single Version,Happy
Tears Don't Fall,Energetic
Teenage Dirtbag,Happy
Tegel,Calm
Telling Tales,Sad
Thank You for the Venom,Energetic
The A Team,Sad
The Boys Are Back In Town,Happy
The Calvary Cross,Sad
The Choice,Calm
The Dazzler,Sad
The Disappearance of the Unmoved Mover,Calm
The Discovery,Calm
The Dreamer,Calm
The Five Times I Loved You,Calm
The Funeral,Sad
The Good in Goodbye (Alternate Version),Sad
The Hardest Button To Button,Energetic
The Hell Song,Energetic
The Hummingbird,Sad
The Hunger,Sad
The Joker,Happy
The King (with Dzeko),Energetic
The Message,Sad
The Mind's Eye,Sad
The Night We Met,Sad
The Night We Met - Rework,Calm
The Safety Dance,Happy
The Snail’s Teachings II: The Wonders of,Calm
The Temporary,Sad
The Times Are Tired,Calm
The Wall,Energetic
There For You,Energetic
Thin White Duchess,Sad
Thirteen Thirty-Five,Sad
This Reminds You - Satie Remix,Calm
Throw Me a Bone,Sad
Tilted Towers,Happy
Time Out,Calm
Time Travel,Calm
Tiptoeing,Calm
To Build A Home,Sad
To The Hilt,Sad
To the Moon,Sad
Tomorrow,Calm
Toxic,Energetic
Transatlanticism,Sad
Trastevere,Calm
Trees - Solo Piano,Calm
Trying My Best,Sad
Tu Vois,Calm
Tubthumping,Happy
Tuesday,Calm
Twist And Shout - Remastered 2009,Happy
Two Princes,Happy
UFOF,Sad
Under A Killing Moon,Energetic
Understudy,Calm
Underwater - Tinlicker Remix,Happy
Unintended,Sad
United,Happy
Universe,Calm
Unmade,Sad
Up Against (Blackout),Energetic
Uprising,Energetic
Used to Be,Calm
Vagabond,Sad
Vague,Calm
Valse Lente,Calm
Vamos,Energetic
Venom,Happy
Video Games - Remastered,Sad
Video Killed The Radio Star,Happy
Virtual Insanity - Remastered,Happy
Viva La Vida,Happy
Voices,Energetic
Wait For Me,Happy
Waiting,Sad
Waiting For Tomorrow (feat. Mike Shinoda),Energetic
Waiting On the World to Change,Happy
Waiting like the Storm,Calm
War,Happy
Wash It All Away,Energetic
Watching Clouds Disappear,Calm
Water Colors,Calm
Water Lillies,Calm
Watersong,Sad
Wave of Mutilation,Sad
We Are Your Friends - Justice Vs Simian,Happy
We Wait,Sad
Welcome Home,Energetic
"Welcome Home, Son",Sad
What I Like About You,Happy
What Should Have Been,Calm
What You Love You Must Love Now,Calm
What's Good,Sad
When The World Stood Still,Calm
When They Come,Calm
When You Left,Calm
Where Your Mind Wants to Go - RONE Remix,Sad
While the Rest of the World Sleeps,Calm
Whiskey In The Jar,Energetic
White Lies,Energetic
White Lies - Guy Arthur Remix,Energetic
White Sparks,Calm
Whitehaven,Calm
Why Can't We Be Friends?,Happy
Wild Trails,Calm
Wild Wild Son - Club Mix,Energetic
Willet,Calm
Winter Scenery,Calm
Wish I Was Better,Sad
Wish You Were Here - 2011 Remastered Version,Sad
Wished,Sad
Without,Energetic
Wolkendans,Calm
Wonderful Together (feat. Envy Monroe),Happy
Wonderwall,Happy
Woodland Heart,Calm
Words I Heard,Sad
Worlds Collide - Edison Cole Remix,Happy
Would You Rather,Sad
Wrong Way,Energetic
Yam Yam,Sad
You Are Safe With Me,Calm
You Can't Rely on My Love,Happy
You Get What You Give,Happy
You Were Bored,Sad
"You're Gonna Go Far, Kid",Energetic
You're My Best Friend - Remastered 2011,Happy
Your Turn Now,Sad
Youth,Sad
alpha waves,Calm
blue,Sad
coeur noir,Calm
comethru,Sad
cry on airplanes,Sad
i don't want to watch the world end with someone else,Sad
lovely (with Khalid),Sad
mellow,Calm
no song without you,Sad
pass you by,Sad
the frost,Calm
the theme song,Calm
when the party's over,Sad
windcatcher,Calm
yellow is the color of her eyes,Sad
you broke me first,Sad
you were good to me,Sad
æfre,Calm
